video_id,view_count,like_count,comment_count,duration_seconds,Year,Month,Day,Weekday,Time,Cleaned_Title,Duration_Category
6yNsc7JVPJE,39808,1797,82,534.0,2023,3,28,Tuesday,11:30:04,Top 5 Biggest Mistakes Beginner Data Analysts Make,Medium
mBCG9J1TVTc,80805,1814,53,682.0,2023,3,21,Tuesday,11:30:30,Indexes in Pandas Python Pandas Tutorials,Medium
WizLaDdsHUs,241424,6490,255,1057.0,2023,3,14,Tuesday,11:30:10,Create the Perfect Data Analyst Resume Free Templates,Medium
kB7FV-ijdqE,130372,2685,69,709.0,2023,3,7,Tuesday,12:30:30,Filtering Columns and Rows in Pandas Python Pandas Tutorials,Medium
dFA0E-6xT_M,11214,392,33,5296.0,2023,3,2,Thursday,16:27:46,Data Analyst QA Livestream March Livestream Ask Me Anything,Long
dUpyC40cF6Q,264928,4256,125,1157.0,2023,2,28,Tuesday,12:30:18,Reading in Files in Pandas Python Pandas Tutorials,Medium
gs0FNQR0njI,85876,1865,101,1011.0,2023,2,21,Tuesday,12:32:29,Building an Automated File Sorter in File Explorer using Python Python Projects for Beginners,Medium
C75TROiiEa0,449551,8305,221,1867.0,2023,2,14,Tuesday,12:30:08,ChatGPT for Data Analysts Best Use Cases Analyzing a Dataset,Long
rGx1QNdYzvs,2173592,50387,1965,412.0,2023,2,7,Tuesday,12:30:11,FREE Data Analyst Bootcamp,Medium
CUBfrdDwznQ,1404241,45449,1418,839.0,2023,1,31,Tuesday,12:30:06,How to Become a Data Analyst in 2023 Completely FREE,Medium
